Cluster,N_DFS,Eventos_Recidiva,Tasa_Recidiva_%,Tiempo_Mediano_DFS_dias,DFS_1yr_%,DFS_2yr_%,DFS_3yr_%,N_OS,Eventos_Muerte,Tasa_Muerte_%,Tiempo_Mediano_OS_dias,OS_1yr_%,OS_2yr_%,OS_3yr_%
0,95,3.0,3.1578947368421053,1319.0,97.78903162055336,97.78903162055336,96.18593274152789,99,6.0,6.0606060606060606,1320.0,98.91304347826086,94.0920144454857,94.0920144454857
1,20,2.0,10.0,577.5,94.73684210526316,86.8421052631579,86.8421052631579,22,4.0,18.181818181818183,677.5,86.36363636363636,86.36363636363636,75.56818181818181
2,22,21.0,95.45454545454545,578.0,77.27272727272727,45.45454545454545,25.568181818181817,22,9.0,40.90909090909091,1211.5,100.0,90.0,68.92307692307692
